InhibitorName;InhibitorIndex;InhibitorNamePlot;PlotOrder
TMZ alone;0;TMZ alone;1
MGMT-mRNA traduction;1;MGMT tr;2
G:T;2;G:T;3
SSB by MMR;3;SSB;4
BER;4;BER;5
O6meG-depending DSB;5;O6meG DSB;6
N73meAG-depending DSB;6;N73meAG DSB;7
HR;7;HR;8
ATR production;8;ATR prod;9
ATR activation;9;ATR act;10
Chk1 production;10;Chk1 prod;11
Chk1 activation;11;Chk1 act;12
Cdc25 production;12;Cdc25 prod;13
Cdc25 inhibition;13;Cdc25 inh;14
Cell-cycle effect;14;Cell-cycle;15
Mdm2-mRNA basale traduction;15;Mdm2-mRNA trad;16
